2 , 1503.1980 , 506.5391 , 505.8858 , 1513.8114 , 
2 , 1805.1396 , 912.1231 , 907.5591 , 1813.3417 , 
2 , 2115.3117 , 1316.4087 , 1315.8571 , 2129.4526 , 
2 , 2414.9700 , 1723.1407 , 1717.6709 , 2419.6693 , 
2 , 2715.5405 , 2125.5272 , 2114.6688 , 2731.7512 , 
2 , 3015.0708 , 2531.2809 , 2530.5667 , 3029.6306 , 
2 , 3315.9007 , 2933.6775 , 2938.0385 , 3323.9740 , 
2 , 3615.7390 , 3330.6432 , 3345.2519 , 3623.3552 , 
2 , 3913.7390 , 3734.3411 , 3747.4961 , 3915.3818 , 
2 , 4209.0202 , 4136.7546 , 4146.6400 , 4207.7423 , 
2 , 4510.4119 , 4536.0681 , 4544.1702 , 4509.6804 , 
2 , 4814.1462 , 4934.6188 , 4951.4547 , 4820.5671 , 
2 , 5114.0511 , 5331.7299 , 5350.1057 , 5126.3137 , 
2 , 5412.5366 , 5733.9919 , 5754.0280 , 5416.8062 , 
2 , 5707.5287 , 6135.5659 , 6158.8775 , 5715.6066 , 
2 , 6002.6636 , 6536.2870 , 6560.6070 , 6005.4647 , 
2 , 6301.7623 , 6939.8478 , 6972.4545 , 6295.3118 , 
2 , 6602.1603 , 7345.8541 , 7373.7964 , 6597.2550 , 
2 , 6898.0628 , 7738.1371 , 7786.6075 , 6893.2856 , 
2 , 7189.7158 , 8134.5419 , 8187.4245 , 7182.4334 , 
